Product_ID,Product_Name,Category,Brand,Price,List_Price,Rating,Reviews,BestSeller,Prime,AmazonChoice,Stock,Status,Image_URL,Description
B0DJK7NW1J,"15.6 Inch Laptops, Windows 11 Laptop Computers with 4GB RAM 128GB SSD, Celeron N5095 Quad-Core CPU(Up to 2.9GHz), 1 Year Office 365, 180 ° Hinge, WiFi 6, 7000mAh, USB 3.2 * 3, HDMI, Type-C",Electronics,Unknown,199.98,679.99,,48,FALSE,FALSE,FALSE,122,Available,https://images.pexels.com/photos/265144/pexels-photo-265144.jpeg,"Premium quality 15.6 Inch Laptops, Windows 11 Laptop Computers with 4GB RAM 128GB SSD, Celeron N5095 Quad-Core CPU(Up to 2.9GHz), 1 Year Office 365, 180 ° Hinge, WiFi 6, 7000mAh, USB 3.2 * 3, HDMI, Type-C"
B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",Electronics,Unknown,279.99,321.99,,39243,FALSE,FALSE,TRUE,290,Available,https://images.pexels.com/photos/29249664/pexels-photo-29249664.jpeg,"Premium quality Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode"
B0DKDY78K3,"Newest Gaming Laptop, Laptop with AMD Ryzen 7 5825U (8C/16T, Up to 4.5GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB",Electronics,Unknown,649.99,1699.99,,18,FALSE,FALSE,FALSE,126,Available,https://images.pexels.com/photos/9263102/pexels-photo-9263102.jpeg,"Premium quality Newest Gaming Laptop, Laptop with AMD Ryzen 7 5825U (8C/16T, Up to 4.5GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB"
B0CPL25J3W,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",Electronics,Unknown,197.35,269,,1678,FALSE,FALSE,FALSE,91,Available,https://images.pexels.com/photos/11129922/pexels-photo-11129922.jpeg,"Premium quality HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver"
B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",Electronics,Unknown,176,209.99,,1861,FALSE,FALSE,FALSE,208,Available,https://images.pexels.com/photos/1181449/pexels-photo-1181449.jpeg,"Premium quality HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)"
B0B2D77YB8,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",Electronics,Unknown,249.99,249.99,,1950,FALSE,FALSE,FALSE,40,Available,https://images.pexels.com/photos/13736497/pexels-photo-13736497.jpeg,"Premium quality HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S"
B0DK9HYLFP,"ACEMAGIC Laptop, Newest Windows 11 Laptop Computer,16GB DDR4 512GB SSD Gaming Laptop, Quad-Core N95 Processor, 15.6"" IPS 1080P PC,180° Open Angle,Long Battery Life,Metal Shell,WiFi,USB3.2, Type C",Electronics,Unknown,359.99,1299.99,,24,FALSE,FALSE,FALSE,122,Available,https://images.pexels.com/photos/10655906/pexels-photo-10655906.jpeg,"Premium quality ACEMAGIC Laptop, Newest Windows 11 Laptop Computer,16GB DDR4 512GB SSD Gaming Laptop, Quad-Core N95 Processor, 15.6"" IPS 1080P PC,180° Open Angle,Long Battery Life,Metal Shell,WiFi,USB3.2, Type C"
B0DHXKL1BF,"HP Flagship 14"" Laptop with 1 Year Office 365 | 16GB RAM | 1.28TB Storage(128GB EMMC & 160GB Docking Station & 1TB Cloud Storage) | Intel 4-Core Processor | Webcam| Silver | Windows 11",Electronics,Unknown,339,339,,13,FALSE,FALSE,FALSE,141,Available,https://images.pexels.com/photos/20432893/pexels-photo-20432893.jpeg,"Premium quality HP Flagship 14"" Laptop with 1 Year Office 365 | 16GB RAM | 1.28TB Storage(128GB EMMC & 160GB Docking Station & 1TB Cloud Storage) | Intel 4-Core Processor | Webcam| Silver | Windows 11"
B09YRY6QCX,ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),Electronics,Unknown,147,147,,678,FALSE,FALSE,FALSE,234,Available,https://images.pexels.com/photos/5942722/pexels-photo-5942722.jpeg,Premium quality ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black)
B0DFLHNVKM,"16.0-inch Laptop, 16GB DDR4 512GB SSD, Newest Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",Electronics,Unknown,59.99,59.99,,6,FALSE,FALSE,FALSE,107,Available,https://images.pexels.com/photos/5942722/pexels-photo-5942722.jpeg,"Premium quality 16.0-inch Laptop, 16GB DDR4 512GB SSD, Newest Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life"
